# name,planet_status,mass_eu,mass_jup,star_mass,star_radius,star_teff,star_distance,radius_eu,Radius_estimate (EU),radius_jup,geometric_albedo,ra,dec,semi_major_axis,molecules,star_name,Bulk Density (g/cm3),Escape Vel (EU),ESI_radius,ESI_Bulk_Dens,ESI_Internal,ESI_Esc_Velocity,Effective Temperature (K),ESI_Eff_Temp,ESI_Surface,ESI_Global,X-Coord,Y-Coord,Z-Coord,Ra_Radians ,Dec_Radians,,Revenue1,Revenue2
Oph 98 b,Confirmed,2479.074,7.8,0.0154,0.24,2320,137,20.41029094,20.41029094,1.86,0.3,246.9333333,-23.98111114,200,,CFHTWIR-Oph 98,1.607497398,11.02070883,0.09341302299,0.4517029816,0.33259,0.16638,33.54473134,0.2086473705,0.006738248235,0.04734016066,-115.1663718,51.2298856,-53.67686298,4.31,-0.42,137.84,,
KELT-1 b,Confirmed,8654.5109,27.23,1.335,1.471,6516,263,12.61926591,12.61926591,1.15,0.3,0.358333342,39.38361112,0.02472,,KELT-1,23.74371271,26.18747344,0.1468507931,0.3767043215,0.34334,0.07356,2247.011245,0.227217927,0.006424010414,0.04696379153,1.271303659,1.043651743,262.9948566,0.01,0.69,261.79,,
WASP-103 b,Confirmed,473.5667,1.49,1.22,1.436,6110,470,16.76716374,16.76716374,1.528,0.3,249.3166667,7.183333337,0.01985,"H2, H2O, K, Na",WASP-103,0.5538736625,5.314350037,0.1125672071,0.182679816,0.21610,0.31674,2322.149245,0.2206770364,0.009870244222,0.04618408779,-436.2557934,-54.98300108,-166.005278,4.35,0.13,472.45,,
WASP-78 b,Confirmed,282.8687,0.89,2.02,2.31,6100,550,18.65456699,18.65456699,1.7,0.3,63.7583333,-22.1163889,0.0415,,WASP-78,0.2402358136,3.893939879,0.1017575203,0.08355685623,0.13817,0.40867,2037.319454,0.2477079005,0.01489608641,0.04536746672,457.0177195,-185.7279495,243.1870327,1.11,-0.39,549.06,,
WASP-33 b,Confirmed,889.924,2.8,1.495,1.444,7400,116,17.59015934,17.59015934,1.603,0.3,36.7125,37.5505556,0.02558,"AlO, CO, Ca, Fe, Fe I, Ni, Si, SiO, Ti",WASP-33,0.9014714415,7.112642063,0.1075838008,0.2812057886,0.26871,0.24653,2482.278347,0.2079213451,0.007657590008,0.04536114147,54.97766378,42.26296992,92.99084826,0.64,0.66,113.07,,
TOI-3540 b,Confirmed,375.0394,1.18,,1.34,58.65,282.4,23.04387687,23.04387687,2.1,0.3,328.9083333,28.17944446,0.04289,,TOI-3540,0.1689735124,4.034131545,0.08318126111,0.05950846998,0.10879,0.39729,44.45929471,0.2674570717,0.01826946378,0.04458269922,-128.5485826,-68.86777905,241.831038,5.74,0.49,282.95,,
K2-137 b,Confirmed,158.915,0.5,0.46,0.44,3492,99.15,0.8668887013,0.8668887013,0.079,0.3,186.870728,-6.195224,0.0058,,K2-137,1344.879083,13.53911122,0.9286988568,0.008160610996,0.07475,0.13756,1371.501905,0.3470920994,0.02608032744,0.04415343648,-11.79200757,1.280027427,-98.43796314,3.26,-0.11,100.59,,
WASP-189 b,Confirmed,632.4817,1.99,1.887,2.33,7996,99,17.76573174,17.76573174,1.619,0.3,225.6869167,-3.031361123,0.05053,Na,WASP-189,0.6218806427,5.966529787,0.1065772456,0.202835208,0.22501,0.28709,2424.86377,0.2123217562,0.008562870438,0.04389476421,-70.7386696,3.7460832,-69.15929066,3.94,-0.05,101.05,,
HAT-P-65 b,Confirmed,167.49641,0.527,1.212,1.86,5835,841,20.73948918,20.73948918,1.89,0.3,315.9041667,11.98944447,0.03951,,HAT-P-65,0.103518915,2.841797349,0.0919984818,0.03688200451,0.08668,0.52059,1795.828552,0.2764142949,0.02201543305,0.04368428619,-572.4527127,-121.5683576,603.9867764,5.51,0.21,841.79,,
WASP-76 b,Confirmed,292.4036,0.92,1.46,1.73,6250,195.3,20.0810927,20.0810927,1.83,0.3,26.6333,2.7006,0.033,"Al2O3, CH4, Ca, Fe, H2O, He, Mg2SiO4, Na, Ni, OH, SiO, Ti, TiO, VO",WASP-76,0.1990806577,3.815812867,0.09487174258,0.06974175689,0.12296,0.41530,2025.955324,0.2489244257,0.01518638833,0.04321192384,87.45159479,4.125030348,174.577469,0.46,0.05,193.38,,
TOI-1518 b,Confirmed,731.009,2.3,1.79,1.95,7300,,20.57489006,20.57489006,1.875,0.3,352.2666667,67.035,0.039,,TOI-1518,0.462720274,5.960490241,0.09270035649,0.1549445655,0.18722,0.28734,2306.7355,0.2219879444,0.009698298693,0.04261171868,0,0,0,6.15,1.17,3.80,,
K2-52 b,Confirmed,128.594018,0.4046,1.69,2.19,7147,1041.7,17.62307917,17.62307917,1.606,0.3,246.61142,-24.969948,0.054,,K2-52,0.1295339963,2.701213229,0.107393626,0.04593783683,0.10188,0.54036,2037.491323,0.2476895933,0.01642263014,0.04090405964,-866.7394296,403.6139069,-413.5183978,4.30,-0.44,1042.45,,
WASP-121 b,Confirmed,376.31072,1.184,1.353,1.458,6460,270,20.46515732,20.46515732,1.865,0.3,107.6,-39.09750001,0.02544,"Ca, Cr, Fe, Fe I, H2O, Mg, Na, Ni, SH, SiO, Ti, TiO, V, VO",WASP-121,0.2420525725,4.288003512,0.09317425307,0.08416215583,0.13527,0.37821,2187.036249,0.2327238642,0.01218132573,0.0405920238,199.7315341,-162.3029447,-81.63987054,1.88,-0.68,270.97,,
WASP-178 b,Confirmed,448.1403,1.41,1.93,1.801,8640,417,21.28815292,21.28815292,1.94,0.3,227.2708333,-42.70500002,0.0558,SiO,WASP-178,0.2560993236,4.588042061,0.08973377055,0.08882931398,0.13774,0.35791,2195.001574,0.2319772995,0.01184165839,0.04038697213,-225.0975217,207.7503879,-282.9485502,3.97,-0.75,417.23,,
WISE 1217+16 A b,Confirmed,6992.26,22,0.03,0.091,575,10,10.53434371,10.53434371,0.96,0.3,184.4875,16.44444446,7.6,"CH4, H2, H2O",WISE 1217+16 A,32.97641882,25.76288074,0.1733952143,0.2863347731,0.31085,0.07473,32.77515,0.2043496823,0.004804712053,0.03864651085,-0.7504110232,-0.221490637,-9.969344271,3.22,0.29,11.95,,
WASP-12 b,Confirmed,467.2101,1.47,1.434,1.657,6360,432.5,20.84922193,20.84922193,1.9,0.3,97.6375,29.6722222,0.02344,"C, CH4, CO, CO2, Ca, Fe, H, H2, H2O, HCN, He, Mg, Na, Ni, O I, SiO, Ti, TiO, VO",WASP-12,0.2842176475,4.733698205,0.09153644036,0.09810389075,0.14609,0.34882,2388.545632,0.2152027572,0.009518176578,0.03728894476,372.4532806,212.2043484,-57.48146048,1.70,0.52,429.61,,
Ross 19 b,Confirmed,8581.41,27,0.362,0.338,3481,17.444,0,32.33054287,,0.3,34.7625,35.35527779,9900,,Ross 19,1.4,16.29154261,0.06000502326,0.4052098408,0.27663,0.11566,30.89711784,0.1937748328,0.00482701173,0.03654141049,8.111878268,5.755287591,14.33063961,0.61,0.62,14.80,,
HD 3651B,Confirmed,16844.99,53,0.79,0.947,5173,11,8.77861976,8.77861976,0.8,0.3,9.8375,21.2502778,476,,HD 3651,137.2778337,43.8037852,0.2045278423,0.07717744372,0.16157,0.04464,40.17697502,0.2448494445,0.006643989,0.03276425926,1.751610905,0.6811740043,10.83825914,0.17,0.37,9.93,,
KOI-55 c,Confirmed,0.667443,0.0021,0.5,0.2,27730,1180,0.8449421519,0.8449421519,0.077,0.3,296.356105,41.092755,0.0076,,KOI-55,6.100165641,0.8887568972,0.9159551708,0.949168198,0.94845,0.94110,6304.263999,0.08737514154,0.00108954492,0.0321461485,-796.8617492,-694.9693864,523.8596229,5.17,0.72,1182.51,,
KOI-55 b,Confirmed,0.444962,0.0014,0.5,0.2,27730,1180,0.7461826796,0.7461826796,0.068,0.3,296.356105,41.092755,0.006,,KOI-55,5.904672384,0.772197268,0.8546444634,0.9654241163,0.93839,0.87146,7091.451154,0.07805458536,0.0007742438467,0.02695444636,-796.8617492,-694.9693864,523.8596229,5.17,0.72,1182.51,,
Kepler-57 c,Confirmed,2208.9185,6.95,0.83,0.73,5145,656.23,1.514311909,1.514311909,0.138,0.3,293.641285,44.65704,,,Kepler-57,3507.050778,38.19192584,0.7954462583,0.003137312262,0.04289,0.05103,,0,0,0,-427.6177663,-422.5289135,263.1542818,5.13,0.78,658.92,,
Kepler-57 b,Confirmed,5994.2738,18.86,0.83,0.73,5145,656.23,2.139788567,2.139788567,0.195,0.3,293.641285,44.65704,,,Kepler-57,3373.124437,52.92638575,0.6369855669,0.003261672787,0.04110,0.03709,,0,0,0,-427.6177663,-422.5289135,263.1542818,5.13,0.78,658.92,,
Kepler-52 c,Confirmed,3308.6103,10.41,0.54,0.56,4263,324.54,1.799617051,1.799617051,0.164,0.3,286.738033,49.97575,,,Kepler-52,3129.779157,42.87677775,0.7143834188,0.003514827325,0.04420,0.04558,,0,0,0,-199.8725399,-237.9941785,93.46630625,5.00,0.87,327.59,,
Kepler-52 b,Confirmed,2765.121,8.7,0.54,0.56,4263,324.54,2.052002369,2.052002369,0.187,0.3,286.738033,49.97575,,,Kepler-52,1764.367062,36.70772947,0.6553074861,0.006226421166,0.05856,0.05304,,0,0,0,-199.8725399,-237.9941785,93.46630625,5.00,0.87,327.59,,
Kepler-53 b,Confirmed,5851.2503,18.41,0.98,0.89,5858,1420.1,2.831104873,2.831104873,0.258,0.3,290.461775,40.562462,,,Kepler-53,1421.63851,45.46066042,0.5220426134,0.007721691138,0.06158,0.04305,,0,0,0,-1010.777285,-865.1928473,496.441967,5.07,0.71,1422.85,,
Kepler-53 c,Confirmed,5002.6442,15.74,0.98,0.89,5858,1420.1,3.10543674,3.10543674,0.283,0.3,290.461775,40.562462,,,Kepler-53,920.9582232,40.1354231,0.4871588887,0.01189463354,0.07608,0.04862,,0,0,0,-1010.777285,-865.1928473,496.441967,5.07,0.71,1422.85,,
YZ LMi b,Confirmed,11124.05,35,0.872,0.00924,17000,548,5.157439109,5.157439109,0.47,0.3,141.6583333,36.40055556,,,YZ LMi,447.0632584,46.44123844,0.3248103578,0.02434964902,0.09945,0.04216,,0,0,0,273.6229508,201.736333,-429.810345,2.47,0.64,546.93,,
Kepler-415 b,Confirmed,119.82191,0.377,0.67,0.64,,538.39,1.185113668,1.185113668,0.108,0.3,293.804434,38.639131,,,Kepler-415,396.884915,10.054894,0.9152841931,0.02738603195,0.14227,0.18092,,0,0,0,-384.7578813,-307.5786505,217.3028731,5.13,0.67,540.96,,
Kepler-54 c,Confirmed,117.5971,0.37,0.51,0.55,4252,273.8,1.207060217,1.207060217,0.11,0.3,294.773939,43.056295,,,Kepler-54,368.6533436,9.870137862,0.9061827967,0.02945237739,0.14750,0.18399,,0,0,0,-181.6490908,-169.7245001,114.7329155,5.14,0.75,276.42,,
ZTFJ0407-00 b,Confirmed,6038.77,19,0.79,0.01,17400,810,4.828240868,4.828240868,0.44,0.3,61.95416668,-0.121388895,,,ZTFJ0407-00,295.7944902,35.36463349,0.3431567166,0.03657429729,0.12558,0.05500,,0,0,0,714.8815214,-1.514575917,380.8439529,1.08,0.00,807.88,,
ZTFJ2252-05 b,Confirmed,8263.58,26,0.76,0.01,15200,536,5.376904603,5.376904603,0.49,0.3,343.1541667,-5.321388899,,,ZTFJ2252-05,293.0755688,39.20191957,0.3136317892,0.036907343,0.12299,0.04975,,0,0,0,-154.6620067,14.40579581,512.9991586,5.99,-0.09,535.28,,
K2-77 b,Confirmed,603.877,1.9,0.8,0.76,4970,142.31,2.249521314,2.249521314,0.205,0.3,55.228428,12.572612,,,K2-77,292.4735028,16.38394831,0.6154752676,0.03698191309,0.14921,0.11505,,0,0,0,114.0949205,25.44597883,81.16025743,0.96,0.22,139.66,,
Kepler-55 b,Confirmed,473.5667,1.49,0.62,0.62,4503,588.47,2.38120061,2.38120061,0.217,0.3,285.168338,44.026466,,,Kepler-55,193.375556,14.10204079,0.5915058675,0.05540874974,0.18316,0.13243,,0,0,0,-408.3800073,-394.7327057,153.9766266,4.98,0.77,591.49,,
Kepler-55 c,Confirmed,352.7913,1.11,0.62,0.62,4503,588.47,2.161735116,2.161735116,0.197,0.3,285.168338,44.026466,,,Kepler-55,192.539043,12.7745931,0.6325640595,0.05564278338,0.18711,0.14519,,0,0,0,-408.3800073,-394.7327057,153.9766266,4.98,0.77,591.49,,
Kepler-54 b,Confirmed,292.4036,0.92,0.51,0.55,4252,273.8,2.052002369,2.052002369,0.187,0.3,294.773939,43.056295,,,Kepler-54,186.5767468,11.93690698,0.6553074861,0.05736991325,0.19212,0.15460,,0,0,0,-181.6490908,-169.7245001,114.7329155,5.14,0.75,276.42,,
Kepler-58 c,Confirmed,696.0477,2.19,0.95,1.13,6099,996.32,2.798185049,2.798185049,0.255,0.3,296.358649,39.115194,,,Kepler-58,175.1532024,15.77141525,0.5265672879,0.06099747958,0.18653,0.11925,,0,0,0,-692.6544785,-563.2100848,442.3547402,5.17,0.68,998.79,,
SCR 1845 b,Confirmed,14302.35,45,,,,3.85,7.68129229,7.68129229,0.7,0.3,281.2791667,-63.9619444,4.5,,SCR 1845,173.9854386,43.14951675,0.2303804472,0.06139431779,0.14789,0.04530,0,0,0,0,-1.657385449,3.392423114,0.7530198457,4.91,-1.12,3.47,,
TOI-852 b,Confirmed,17067.471,53.7,,,5746,,8.229956025,8.229956025,0.75,0.3,24.74166669,-7.281111128,,,TOI-852,168.8048826,45.53813188,0.2166857561,0.06321892794,0.14763,0.04298,,0,0,0,0,0,0,0.43,-0.13,3.80,,
ZTF J0038+2030 b,Confirmed,18847.319,59.3,0.505,0.01429,,138.3,8.59207409,8.59207409,0.783,0.3,9.729166685,20.50722224,0.0092,,ZTF J0038+2030,163.8188662,46.83442201,0.2085054787,0.06508045703,0.14830,0.04181,0,0,0,0,21.89037776,8.187622067,136.3109101,0.17,0.36,136.68,,
ZTFJ0003+14 b,Confirmed,5403.11,17,0.79,0.0106,11600,263,6.254766579,6.254766579,0.57,0.3,0.841666674,14.08305557,,,ZTFJ0003+14,121.7359538,29.39041593,0.2756808201,0.08660393252,0.18711,0.06581,,0,0,0,3.747177772,0.9400479935,262.9716239,0.01,0.25,261.77,,
Kepler-58 b,Confirmed,441.7837,1.39,0.95,1.13,6099,996.32,2.721372126,2.721372126,0.248,0.3,296.358649,39.115194,,,Kepler-58,120.8521181,12.74090446,0.5374361747,0.08720968093,0.22717,0.14555,,0,0,0,-692.6544785,-563.2100848,442.3547402,5.17,0.68,998.79,,
ZTFJ0220+21 b,Confirmed,4449.62,14,0.83,0.01,14200,350,5.925568338,5.925568338,0.54,0.3,35.0375,21.69888892,,,ZTFJ0220+21,117.9074549,27.40222558,0.2887849635,0.08929044934,0.19273,0.07042,,0,0,0,186.7007418,74.29305499,286.5717624,0.61,0.38,347.41,,
SMSS J1606-1000 b,Confirmed,19069.8,60,0.72,,,107.87,9.766214483,9.766214483,0.89,0.3,241.6666667,-10.00305556,,,SMSS J1606-1000,112.8692759,44.18748881,0.1857663158,0.09309061837,0.17379,0.04426,,0,0,0,-93.50398148,16.49241635,-51.19514186,4.22,-0.17,109.55,,
2MASS J0407+1546,Confirmed,21294.61,67,,,,36.4421,10.64407646,10.64407646,0.97,0.3,61.78136083,15.77931668,,,,97.35406912,44.72704779,0.1717611532,0.1071316748,0.18321,0.04374,,0,0,0,30.90088295,8.732021546,17.23118931,1.08,0.28,33.71,,
Kepler-1625 b,Confirmed,3686.828,11.6,0.96,0.94,5677,1213,5.936541613,5.936541613,0.541,0.3,295.429347,39.886547,,,Kepler-1625,97.1540037,24.92005872,0.2883281196,0.1073404465,0.21258,0.07716,,0,0,0,-840.5783351,-702.4972974,520.8594914,5.16,0.70,1215.52,,
ZTFJ1637+49 b,Confirmed,7310.09,23,0.9,0.009,11200,207,7.461826796,7.461826796,0.68,0.3,249.4333333,49.29472224,,,ZTFJ1637+49,97.00533203,31.29883416,0.2363555823,0.1074961158,0.20103,0.06192,,0,0,0,-126.3945493,-146.9198434,-72.71848134,4.35,0.86,210.73,,
TOI-1406 b,Confirmed,14620.18,46,1.18,1.35,6290,,9.437016242,9.437016242,0.86,0.3,82.12916668,-48.40916668,,,TOI-1406,95.90847523,39.35939276,0.1916256479,0.1086587032,0.19046,0.04955,,0,0,0,0,0,0,1.43,-0.84,3.80,,
Kepler-49 b,Confirmed,311.4734,0.98,0.55,0.56,4252,314.02,2.666505752,2.666505752,0.243,0.3,292.294579,40.591801,,,Kepler-49,90.57362787,10.80758352,0.5454784842,0.114691756,0.26414,0.16938,,0,0,0,-220.6300141,-189.0480338,119.129334,5.10,0.71,316.70,,
GJ 570 D,Confirmed,13507.775,42.5,0.802,,4758,5.91,9.382149869,9.382149869,0.855,0.3,224.3666667,-21.4152778,1500,NH3,GJ 570 ABC,90.17478063,37.94286381,0.1926383288,0.1151698309,0.19677,0.05136,0,0,0,0,-3.847235365,1.508898587,-4.224938473,3.92,-0.37,7.99,,
ZTF-J1622+47 b,Confirmed,19387.63,61,0.47,0.182,29000,,10.75380921,10.75380921,0.98,0.3,245.73609,47.51422,,,ZTF-J1622+47,85.95004661,42.45907993,0.1701576029,0.1204897702,0.19458,0.04602,,0,0,0,0,0,0,4.29,0.83,3.80,,
Kepler-131 c,Confirmed,8.26358,0.026,1.02,1.03,5685,230.19,0.8229956025,0.8229956025,0.075,0.3,288.530825,40.942304,,,Kepler-131,81.73048318,3.168653434,0.9029046492,0.1263175031,0.32110,0.47977,,0,0,0,-164.8634671,-143.0224144,73.1577903,5.04,0.71,233.03,,
Kepler-49 c,Confirmed,228.8376,0.72,0.55,0.56,4252,314.02,2.490933357,2.490933357,0.227,0.3,292.294579,40.591801,,,Kepler-49,81.62993176,9.584556435,0.5729126842,0.1264632618,0.28223,0.18895,,0,0,0,-220.6300141,-189.0480338,119.129334,5.10,0.71,316.70,,
Kepler-409 b,Confirmed,22.0001926,0.06922,0.92,0.89,5460,68.31,1.163167118,1.163167118,0.106,0.3,293.67919,46.852764,,,Kepler-409,77.0741081,4.348921456,0.924570267,0.1334397168,0.33291,0.37391,,0,0,0,-42.7824857,-45.64287894,27.43433286,5.13,0.82,71.07,,
2MASS J0348-6022,Confirmed,13666.69,43,,,,9,9.985679977,9.985679977,0.91,0.3,57.032171,-60.3741839,,,,75.67262287,36.99407996,0.1820551849,0.1357433353,0.21143,0.05264,,0,0,0,3.732607251,-6.563689163,4.897512397,1.00,-1.05,10.56,,
2MASS J1219+3128,Confirmed,15573.67,49,,,,19,10.64407646,10.64407646,0.97,0.3,184.964836,31.48047602,,,,71.19924458,38.24995003,0.1717611532,0.1436593472,0.21435,0.05096,,0,0,0,-1.402325023,-0.8586887175,-18.92871201,3.23,0.55,20.78,,
AD 3116 b,Confirmed,17226.386,54.2,0.276,0.29,3200,186.54,11.19274019,11.19274019,1.02,0.3,130.6643334,19.41441632,,,AD 3116,67.73190333,39.22999535,0.1640320361,0.1504603171,0.21686,0.04971,,0,0,0,133.4523595,47.03374017,-121.5543773,2.28,0.34,185.31,,
2MASS J0447-1216,Confirmed,16209.33,51,,,,27.7,11.19274019,11.19274019,1.02,0.3,71.87665001,-12.27098334,,,,63.73297177,38.05429683,0.1640320361,0.1591497262,0.22347,0.05121,,0,0,0,25.72432026,-5.595163316,8.61646647,1.25,-0.21,26.55,,
HD 126053 B,Confirmed,11124.05,35,0.87,,5750,17.4385,9.87594723,9.87594723,0.9,0.3,215.8136865,1.241567174,2630,,HD 126053 A,63.67002562,33.56073525,0.1838920287,0.1592945348,0.23098,0.05787,0,0,0,0,-10.20176703,-0.2211011365,-14.1412993,3.77,0.02,19.76,,
CoRoT-15 b,Confirmed,20150.422,63.4,,,,,12.29006766,12.29006766,1.12,0.3,97.11666668,6.186241673,0.045,,CoRoT-15,59.84525178,40.49060975,0.1504883234,0.1686169007,0.22490,0.04820,0,0,0,0,0,0,0,1.70,0.11,3.80,,
Kepler-106 b,Confirmed,5.3014044,0.01668,1,1.04,5858,449.98,0.8010490531,0.8010490531,0.073,0.3,300.863971,44.337555,,,Kepler-106,56.86197951,2.572499461,0.8895360753,0.1766819024,0.38261,0.55983,,0,0,0,-276.2646481,-269.949127,230.8404501,5.25,0.77,452.33,,
ASASSN-17jf b,Confirmed,19069.8,60,0.669,0.012,,286,12.29006766,12.29006766,1.12,0.3,307.3208333,-43.67222224,0.0026,,ASASSN-17jf,56.63588496,39.38993944,0.1504883234,0.1773246934,0.23104,0.04952,0,0,0,0,-164.5095322,157.0562034,173.3953943,5.36,-0.76,284.58,,
Gaia14aae b,Confirmed,2936.7492,9.24,,,,258,6.616884644,6.616884644,0.603,0.3,242.8916667,63.14222223,,,Gaia14aae,55.88748205,21.06667662,0.2625745424,0.1794861879,0.27252,0.09063,,0,0,0,-103.7542083,-204.8847788,-117.5639896,4.24,1.10,261.76,,
